Instance,BKS,Cut_best,Acc_best,Cut_avg,Acc_avg,Std,t_avg,# Opt,# run,
G1,11624,11624,100,11614.46,99.92,0.08,1.09,149,500,1
G2,11620,11620,100,11608.71,99.9,0.05,1.232,12,500,2
G3,11622,11622,100,11612.05,99.91,0.07,1.165,64,500,3
G4,11646,11646,100,11638,99.93,0.05,1.128,99,500,4
G5,11631,11631,100,11627.57,99.97,0.03,1.041,196,500,5
G6,2178,2178,100,2165.96,99.45,0.34,1.206,33,500,6
G7,2006,2006,100,1999.77,99.69,0.28,1.094,147,500,7
G8,2005,2005,100,1996.72,99.59,0.25,1.171,60,500,8
G9,2054,2054,100,2049.01,99.76,0.27,1.126,100,500,9
G10,2000,2000,100,1996.17,99.81,0.16,1.206,39,500,10
G11,564,564,100,559.04,99.12,0.29,1.236,3,500,11
G12,556,554,99.64,548.42,98.64,0.29,1.248,0,500,12
G13,582,580,99.66,574.4,98.69,0.29,1.239,0,500,13
G14,3064,3042,99.28,3028.84,98.85,0.11,1.243,0,500,14
G15,3050,3014,98.82,3000.68,98.38,0.12,1.246,0,500,15
G16,3052,3020,98.95,3007.08,98.53,0.14,1.242,0,500,16
G17,3047,3019,99.08,3004.05,98.59,0.13,1.248,0,500,17
G18,992,965,97.28,934.25,94.18,0.8,1.242,0,500,18
G19,906,872,96.25,841.98,92.93,1.1,1.246,0,500,19
G20,941,900,95.64,872.63,92.73,0.94,1.241,0,500,20
